Rank,Title,ASIN,Price_EUR,Rating,Reviews,URL
1,"Protector de Colchón Impermeable 90x190 cm, hasta 40 cm",B078C6QR1C,"12,62",4.6,47375,"https://www.amazon.es/dp/B078C6QR1C"
2,"Utopia Bedding Juego de Sabanas 4 Piezas, 150x200cm, Gris | Sábana Bajera, Sábana Plana y 2 Fundas de Almohada 50x75 - Cama 150 - Oeko-Tex Certificado - Poliéster Microfibra Cepillada",B075JJRFVV,"16,98",4.5,60937,"https://www.amazon.es/dp/B075JJRFVV"
3,"Amazon Basics Paquete de 6 Bolsas de vacío para Almacenamiento de Ropa, Incluyen Bomba Manual de vacío, con Cremallera, tamaño Extragrande,Jumbo, Transparente",B07RN64P2R,"13,52",4.5,156032,"https://www.amazon.es/dp/B07RN64P2R"
4,"Todocama Almohada Viscoelástica Aloe Vera (Pack 2 Unidades 70 cm), Núcleo Compacto Viscoelástico para Cervicales y Cuello, Firmeza Media-Alta, Doble Funda con Cremallera.",B0H1H86BF3,"29,99",4.5,199,"https://www.amazon.es/dp/B0H1H86BF3"
5,"De'Longhi EcoDecalk Descalcificador DLSC500, 5 Dosis De Descalcificación, Accesorio De Mantenimiento Para Máquina De Café, Ingredientes De Origen Vegetal, Botella Con 5 Dosis, 500ml",B008YETL18,"",4.8,122356,"https://www.amazon.es/dp/B008YETL18"
6,"Sparrow Botella Agua Acero Inoxidable 500ml/750ml/1L/1.2L Botella Termica | Cantimplora, Termo Agua, Isotermica, Caliente, Fria, Antifugas, Sin BPA, Lavavajillas, Gimnasio, Gym, Ciclismo, Deportiva",B0BZVH1KZD,"16,70",4.4,8875,"https://www.amazon.es/dp/B0BZVH1KZD"
7,"100 Etiquetas termoadhesivas personalizadas para ropa (PLANCHAR). Etiquetas de tela para planchar con CERTIFICADO ECOLÓGICO ideales para niños, bebés y abuelos. NOMBRE PERSONALIZADO.",B01KOAJ5M4,"9,99",4.5,6235,"https://www.amazon.es/dp/B01KOAJ5M4"
8,"edihome, Papel Freidora Aire, Air Fryer, 100 Unidades, 20-24 cm, BPA Free, Desechable, para Horno, Accesorios para Freidora sin Aceite de 5 a 8 litros (20-24 cm, Cuadrado)",B0D3VCV459,"7,50",4.6,8800,"https://www.amazon.es/dp/B0D3VCV459"
9,"PIKOLIN Pack 2 Almohadas Hotel Viscoelásticas 70cm Doble Funda | Pack 2 unidades | Memory Foam viscoelástico | Firmeza alta 11cm | Doble funda cremallera | Oeko-Tex",B00Y0OYIFU,"38,99",4.1,2858,"https://www.amazon.es/dp/B00Y0OYIFU"
10,"Amazon Basics Cartuchos filtrantes de Agua, 6 Unidad, Paquete de 1, Aptos y compatibles con Todas Las jarras BRITA Incl. PerfectFit & Jarras Amazon Basic",B084H8X4SW,"17,50",4.6,16657,"https://www.amazon.es/dp/B084H8X4SW"
11,"BRITA Cartucho Filtrante de Agua MAXTRA PRO Pure Performance (All-in-1) Pack 6 | Recambio original para todas las jarras BRITA para agua de sabor puro - filtra PFAS, cloro, cal y metales",B0BSXDVQG7,"28,52",4.7,17535,"https://www.amazon.es/dp/B0BSXDVQG7"
12,"TrendPlain Pulverizador Aceite Spray 470ml - 2 en 1 Spray Aceite Cocina, Dispensadora para Freidora de Aire, Ensaladas, Vinagre y Accesorios Cocina (1 unidad, Negro-1)",B0GGN7Z8VX,"9,49",4.6,27723,"https://www.amazon.es/dp/B0GGN7Z8VX"
13,"Cecotec Batidora de mano Power TitanBlack 1500 XL PerfectCream&Crush. 1500 W, Tecnología CrossBlades con Cuchillas de 4 hojas, Pie XL, Incluye Picadora, Varillas batidoras y Pasapurés",B08PKWD87W,"44,99",4.2,1614,"https://www.amazon.es/dp/B08PKWD87W"
14,"Amazon Basics Perchas de Terciopelo para Trajes - Paquete de 50, Marfil",B01M66MBWZ,"17,99",4.7,219008,"https://www.amazon.es/dp/B01M66MBWZ"
15,"Rowenta Pure Pop, Plancha de Vapor 1300 W para Viaje, Verde | Vapor continuo 20 g/min, Plancha y Purifica, Elimina pelusas, Cabezales reversibles, Elimina hasta el 99,99% de virus, DR2024",B0BY93HZHR,"31,99",4.3,5485,"https://www.amazon.es/dp/B0BY93HZHR"
16,"PORTENTUM Papel freidora aire 100 unidades de 20-24 cm Cuadrado. Para Air Fryer, Grado alimenticio con triple certificación BPA free, FDA y LFGB",B0C7SBTGYZ,"6,79",4.5,22515,"https://www.amazon.es/dp/B0C7SBTGYZ"
