Rank,ASIN,Title,Price_EUR,ListPrice_EUR,Rating,Reviews,Availability,BSR,Seller,Brand,SoldByAmazon,URL
1,B078C6QR1C,"Protector de Colchón Impermeable 90x190 cm, hasta 40 cm","12,62","13,29",4.6,47375,En stock,n.º 1 en Hogar y cocina,Utopia Brands,Utopia Bedding,No,https://www.amazon.es/dp/B078C6QR1C
2,B075JJRFVV,"Utopia Bedding Juego de Sabanas 4 Piezas, 150x200cm, Gris | Sábana Bajera, Sábana Plana y 2 Fundas de Almohada 50x75 - Cama 150 - Oeko-Tex Certificado - Poliéster Microfibra Cepillada","16,98",,4.5,60937,En stock,n.º 2 en Hogar y cocina,Utopia Brands,Utopia Bedding,No,https://www.amazon.es/dp/B075JJRFVV
3,B07RN64P2R,"Amazon Basics Paquete de 6 Bolsas de vacío para Almacenamiento de Ropa, Incluyen Bomba Manual de vacío, con Cremallera, tamaño Extragrande,Jumbo, Transparente","13,52",,4.5,156032,En stock,n.º 3 en Hogar y cocina,Amazon,Amazon Basics,Sí,https://www.amazon.es/dp/B07RN64P2R
4,B0H1H86BF3,"Todocama Almohada Viscoelástica Aloe Vera (Pack 2 Unidades 70 cm), Núcleo Compacto Viscoelástico para Cervicales y Cuello, Firmeza Media-Alta, Doble Funda con Cremallera.","29,99",,4.5,199,En stock,n.º 4 en Hogar y cocina,Amazon,Todocama,Sí,https://www.amazon.es/dp/B0H1H86BF3
5,B008YETL18,"De'Longhi EcoDecalk Descalcificador DLSC500, 5 Dosis De Descalcificación, Accesorio De Mantenimiento Para Máquina De Café, Ingredientes De Origen Vegetal, Botella Con 5 Dosis, 500ml","31,99",,4.8,122356,En stock,n.º 5 en Hogar y cocina,多卖家（多购买选项）,De'Longhi,No,https://www.amazon.es/dp/B008YETL18
6,B0BZVH1KZD,"Sparrow Botella Agua Acero Inoxidable 500ml/750ml/1L/1.2L Botella Termica | Cantimplora, Termo Agua, Isotermica, Caliente, Fria, Antifugas, Sin BPA, Lavavajillas, Gimnasio, Gym, Ciclismo, Deportiva","16,70",,4.4,8875,En stock,n.º 6 en Hogar y cocina,—,Super Sparrow,No,https://www.amazon.es/dp/B0BZVH1KZD
7,B01KOAJ5M4,"100 Etiquetas termoadhesivas personalizadas para ropa (PLANCHAR). Etiquetas de tela para planchar con CERTIFICADO ECOLÓGICO ideales para niños, bebés y abuelos. NOMBRE PERSONALIZADO.","9,99",,4.5,6235,En stock,n.º 7 en Hogar y cocina,Haberdashery Online,Haberdashery Online,No,https://www.amazon.es/dp/B01KOAJ5M4
8,B0D3VCV459,"edihome, Papel Freidora Aire, Air Fryer, 100 Unidades, 20-24 cm, BPA Free, Desechable, para Horno, Accesorios para Freidora sin Aceite de 5 a 8 litros (20-24 cm, Cuadrado)","7,50",,4.6,8800,En stock,n.º 8 en Hogar y cocina,Amazon,edihome,Sí,https://www.amazon.es/dp/B0D3VCV459
9,B00Y0OYIFU,PIKOLIN Pack 2 Almohadas Hotel Viscoelásticas 70cm Doble Funda | Pack 2 unidades | Memory Foam viscoelástico | Firmeza alta 11cm | Doble funda cremallera | Oeko-Tex,"38,99",,4.1,2858,En stock,n.º 9 en Hogar y cocina,Amazon,PIKOLIN,Sí,https://www.amazon.es/dp/B00Y0OYIFU
10,B084H8X4SW,"Amazon Basics Cartuchos filtrantes de Agua, 6 Unidad, Paquete de 1, Aptos y compatibles con Todas Las jarras BRITA Incl. PerfectFit & Jarras Amazon Basic","17,50",,4.6,16657,En stock,n.º 10 en Hogar y cocina,Amazon,Amazon Basics,Sí,https://www.amazon.es/dp/B084H8X4SW
